fecha,precio_btc,mercado_cap_btc,total_volumen_btc,precio_ethereum,mercado_cap_ethereum,total_volumen_ethereum,precio_tether,mercado_cap_tether, total_volumen_tether,precio_binance,mercado_caps_binance,total_volumen_binance
2022-05-01,38537.65476669535,733294957352.5364,24857664487.014507,2832.513106895354,341626180826.6119,14489173444.820097,1.0013790619870837,83267550080.02553,51024532583.465034,390.8651456422927,65644187988.487114,1747249741.6637166
2022-05-02,38561.56539902362,733787526677.6703,29825308569.42226,2861.3723755560436,345080135066.0433,17701813870.710365,1.0005221894277254,83147512568.42366,54204899478.984985,389.8047599149916,65520745450.58815,1150913812.8750987
2022-05-03,37758.496107734,718542028695.8999,23070122642.32804,2786.0472478011084,336655132684.7217,12836324477.777216,1.001090151178248,83241023585.97873,42588775990.10183,383.7098536711533,64548901391.76938,1231287145.0026062
2022-05-04,39699.02404125388,755764276888.7715,31748901527.20592,2942.052313122658,355229761723.3485,17336934449.712643,0.9996788744004061,83185453774.38527,58210506142.83146,402.61952046900893,67720818327.89634,1688036565.0797029
2022-05-05,36612.229548803036,696020943881.887,37402043365.58407,2753.936566546688,332103738939.991,20868783132.923206,1.0003777855190839,83270750870.97081,69231991898.26894,379.21236440130934,63635450816.209496,2539500897.383408
2022-05-06,36116.394294982965,687093350325.4445,32223287014.454002,2699.7072470893745,325971900416.40796,20516541977.493565,1.0007634262592542,83284503885.03922,62277908159.216255,379.81681129021393,63931869616.4675,1879809067.8329954
2022-05-07,35573.31019883488,678702448510.6605,19130720394.98043,2641.229106940243,319030900103.94275,12528069434.498928,1.001630847500449,83355823232.93599,43766711609.74511,366.25622157917917,61694401854.02236,1484663429.2283075
2022-05-08,34070.31219757961,648514321641.9902,30810576501.52256,2517.8299224886478,304412453306.29724,20582973186.12796,1.0017268923180958,83279712048.29787,62841996907.1689,355.66558193095045,59770459493.14467,1768055683.05187
2022-05-09,30269.586956629482,576197842487.6378,58369928594.32748,2249.8909622207443,271594796946.79037,34392685561.846504,1.0002380044477386,83264870157.7176,103063943707.14838,301.28375582072573,50859142819.52243,3164346808.261889
2022-05-10,31026.93386836242,590644412746.6844,54071363210.08785,2344.797715643986,283082341315.2594,36844564808.016556,1.001218158481605,83248981251.48763,112588631117.7101,318.9583938325508,53628718914.42993,4423139725.452738
